"Resource type","Region","ID","tag:Name","tag:aws:cloudformation:stack-id","tag:aws:cloudformation:logical-id","tag:aws:cloudformation:stack-name","tag:Application owner","tag:Creation Date","tag:cpm backup","tag:Environment ","tag:Business Owner","tag:Create Date","tag:Cost Center Code","tag:Cost center ","tag:HostName","tag:Application team SNow Queue","tag:Application team DL","tag:Environment","tag:Multi-AZ deployement","tag:cost center","tag:PTH IDMD No","tag:Organisation","tag:Environment_Type","tag:Multi AZ deployment","tag:Cost Centre","tag:Snapshot Cleanup","tag:CloudManager","tag:System Description","tag:Application Criticality","tag:Public Accessible","tag:Morpheus Instance Id","tag:Ncode","tag:Allocated storage","tag:OS_Type","tag:IDMD Record","tag:Purpose","tag:Total_Volume_Count","tag:TempShutdown","tag:Environment Tag","tag:IDMD ","tag:Security group","tag:Cluster Name","tag:Instance_ID","tag:Göran Johansson","tag:Database Platform","tag:IDM Request","tag:cpm_policy_name","tag:Tool","tag:Cost_Center","tag:PMO","tag:Project","tag:Morpheus Server Id","tag:Instance Class","tag:Volume_Number","tag:Cost Center","tag:Organization","tag:Application Name","tag:Maintenance window","tag:Email","tag:Creation-Date","tag:Secondary zone - if multi-AZ enabled","tag:Secondary zone - if multi AZ enabled","tag:Requestor Name","tag:Instance class","tag:IDMD No","tag:1scheduler:ec2-startstop","tag:Character set","tag:Expiry Date","tag:InstanceId","tag:Security Patching Group","tag:Security Patching","tag:Hostname","tag:Snapshot_Type","tag:GXP","tag:ASM","tag:Created Date","tag:Morpheus Id","tag:Public accessible","tag:NCode","tag:Subnet group","tag:scheduler:ec2-startstop1","tag:scheduler:ec2-startstop","tag:Development","tag:IDMD","tag:Work Load","tag:Created-Date","tag:description","tag:OSM","tag:Multi-AZ Enabled","tag:Business ower","tag:Subnet Group","tag:Morpheus Tags","tag:Expiry","tag:Created date","tag:workload-type","tag:CreationDate","tag:Cost center","tag:OS","tag:Morpheus Environment","tag:AZ IDM","tag:Cost Code","tag:Parameter group","tag:Service_Type","tag:GxP","tag:AutoStartStop","tag:Status","tag:work-load type","tag:Network","tag:Volume_Type","tag:Applicaton Team DL","tag:DB Instance Class","tag:name","tag:Clarity_Code","tag:Allocated Storage","tag:Project_Name","tag:Project Name","tag:Team Mail ID","tag:Subnets","tag:Multi-AZ Deployment","tag:IDM ID","tag:Security groups","tag:Type","tag:Auto Start/Stop","tag:SR","tag:Backup","tag:Requesting Organization","tag:Organizatoin","tag:Organization Tag","tag:Owner","tag:Maintenace Window","tag:Organization ","tag:Application","tag:Cost code","tag:Volume_ID","tag:Cost Center ","tag:Secirity Groups","tag:cpm_server_id","tag:Version","tag:Parameter Group","tag:Requestor Email","tag:Application Team DL","tag:Application Teams SNOW Queue","tag:WorkingEnvironment","tag:WorkingEnvironmentId","tag:AWS Chargeback N-code","tag:test","tag:cpmsnapshot","tag:elasticbeanstalk:environment-id","tag:elasticbeanstalk:environment-name","tag:USCVAWATLASPD08","tag:Instance ID","tag:Srivdya  Pathasarathy","tag:Decommission","tag:Cost-Center","tag:schedulerec2-startstop","tag:Clarity-Code","tag:Retention_Days","tag:Request","tag:OS Type","tag:Clarity Project ID","tag:AZ Entity","tag:scheduler:ebssnapshot","tag:Bucket Name","tag:Multi-AZ deployment","tag:Costcenter","tag:N Code number for chargebacks","tag:Maintenance Window","tag:IDMD ID","tag:Environmnet","tag:ServiceRequest","tag:Project name","tag:Rotation","tag:screamtest","tag:IDM No","tag:Project code","tag:IMDB No","tag:AZ Business PM","tag:Volume_Id","tag:Multi AZ","tag:Volume for Deletion","tag:Project Number","tag:Request number","tag:CostCenter","tag:NamAZ-US-I&O-Linux-Cloudera-Data-Pre-Prod20-Servere","tag:aws:elasticmapreduce:job-flow-id","tag:aws:elasticmapreduce:instance-group-role","tag:Key Owner","tag:Snapshot_Test","tag:Environment Type","tag:S3 Name","tag:Clarity ID","tag:aws:autoscaling:groupName","tag:Disabled-scheduler:ec2-startstop","tag:Project-Name","tag:Bucket Owner","tag:Retain_Until","tag:Security","tag:Service request","tag: OS","tag:Name-","tag:Group Name"
"EC2 Volume","ap-southeast-1","vol-11242a19","AZ-SG-ETV-Windows-Database-Server-SGAWST1WPRSQL01-G: Drive","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4109140000 / Z3801600330","","","","","","","","","","","","","","","","","SGAWST1WPRSQL01","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-92e4ea9a","AZ-SG-ETV-Windows-UAT-Server-SGAWST1WTSUAT01-E: Drive","","","","","01/01/2001","","","","","","","","","","Test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4109140000 / Z3801600330","","","","","","","","","","","","","","","","","SGAWST1WTSUAT01","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-e6e4eaee","AZ-SG-ETV-Windows-UAT-Server-SGAWST1WTSUAT01-F: Drive","","","","","01/01/2001","","","","","","","","","","Test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4109140000 / Z3801600330","","","","","","","","","","","","","","","","","SGAWST1WTSUAT01","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-50e5eb58","AZ-SG-ETV-Windows-Database-Server-SGAWST1WPRSQL01-D: Drive","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4109140000 / Z3801600330","","","","","","","","","","","","","","","","","SGAWST1WPRSQL01","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-a2e5ebaa","AZ-SG-ETV-Windows-Database-Server-SGAWST1WPRSQL01-E: Drive","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4109140000 / Z3801600330","","","","","","","","","","","","","","","","","SGAWST1WPRSQL01","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-f4252cfc","AZ-APAC-REGULATORY AFFAIRS MANAGEMENT SYSTEM-Windows-Application Server","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3509504070","","","","","","","","","","","","","","","","","SGAWST1WPRAPP01","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-f63831fe","AZ-APAC-REGULATORY AFFAIRS MANAGEMENT SYSTEM-Windows-Database Server","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3509504070","","","","","","","","","","","","","","","","","SGAWST1WPRDB01","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-f73831ff","AZ-APAC-REGULATORY AFFAIRS MANAGEMENT SYSTEM-Windows-Database Server","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3509504070","","","","","","","","","","","","","","","","","SGAWST1WPRDB01","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-143b321c","AZ-APAC-REGULATORY AFFAIRS MANAGEMENT SYSTEM-Windows-Database Server","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3509504070","","","","","","","","","","","","","","","","","SGAWST1WPRDB01","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-3b3b3233","AZ-APAC-REGULATORY AFFAIRS MANAGEMENT SYSTEM-Windows-Database Server","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3509504070","","","","","","","","","","","","","","","","","SGAWST1WPRDB01","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-3c3b3234","AZ-APAC-REGULATORY AFFAIRS MANAGEMENT SYSTEM-Windows-Database Server","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3509504070","","","","","","","","","","","","","","","","","SGAWST1WPRDB01","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-b2bbb2ba","AZ-APAC-TENDERING MANAGEMENT SYSTEM-Windows-Database Server","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1301108224","","","","","","","","","","","","","","","","","SGAWST1WPRDB02","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-ddbbb2d5","AZ-APAC-TENDERING MANAGEMENT SYSTEM-Windows-Database Server","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1301108224","","","","","","","","","","","","","","","","","SGAWST1WPRDB02","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-d3bbb2db","AZ-APAC-TENDERING MANAGEMENT SYSTEM-Windows-Application Server","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1301108224","","","","","","","","","","","","","","","","","SGAWST1WPRAPP02","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-d4bbb2dc","AZ-APAC-TENDERING MANAGEMENT SYSTEM-Windows-Application Server","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1301108224","","","","","","","","","","","","","","","","","SGAWST1WPRAPP02","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-e2bbb2ea","AZ-APAC-TENDERING MANAGEMENT SYSTEM-Windows-Application Server","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1301108224","","","","","","","","","","","","","","","","","SGAWST1WPRAPP02","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-fcbbb2f4","AZ-APAC-TENDERING MANAGEMENT SYSTEM-Windows-Database Server","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1301108224","","","","","","","","","","","","","","","","","SGAWST1WPRDB02","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-fdbbb2f5","AZ-APAC-TENDERING MANAGEMENT SYSTEM-Windows-Database Server","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1301108224","","","","","","","","","","","","","","","","","SGAWST1WPRDB02","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-febbb2f6","AZ-APAC-TENDERING MANAGEMENT SYSTEM-Windows-Database Server","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1301108224","","","","","","","","","","","","","","","","","SGAWST1WPRDB02","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-f6c8dcfe","AZ-APAC-REGULATORY AFFAIRS MANAGEMENT SYSTEM-Windows-Application Server","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3509504070","","","","","","","","","","","","","","","","","SGAWST1WPRAPP01","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-0ac9dd02","AZ-APAC-REGULATORY AFFAIRS MANAGEMENT SYSTEM-Windows-Application Server","","","","","01/01/2001","","","","","","","","","","Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3509504070","","","","","","","","","","","","","","","","","SGAWST1WPRAPP01","","","","","","","","","","","","","","","","","","","","","","","","","","Windows","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Default","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC2 Volume","ap-southeast-1","vol-06eae10596dc48588","AZ-APAC-REGULATORY AFFAIRS MANAGEMENT SYSTEM-Windows-Database Server","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
